ASIN,Identifier,Purchasing Price
B01M13QICO,asin,5.0
B08HR42T3T,asin,5.0
B08F789KKL,asin,5.0
B08DDB41MZ,asin,5.0
B07ZM5QCX9,asin,5.0
B07XYTRL5Q,asin,5.0
B003B6TG32,asin,5.0
B07MXZDD1V,asin,5.0
B075YVSSV8,asin,5.0
B00NMNA2S2,asin,5.0
B08MX9148B,asin,5.0
B07CY2VNJM,asin,5.0
B07ZH6C81S,asin,5.0
B07543B5WD,asin,5.0
B07QK64BY9,asin,5.0
B07L98SM6J,asin,5.0
B07VHRBWPT,asin,5.0
B08GYHPN21,asin,5.0
B07H3VQVYM,asin,5.0
B087T6L61V,asin,5.0
B08HRZ923J,asin,5.0
B084RN2398,asin,5.0
B07LFF6QBR,asin,5.0
B07YJBLTDB,asin,5.0
B07LBL8897,asin,5.0
B0815JJHRV,asin,5.0
B07ZHVNNB8,asin,5.0
B07C89F1NX,asin,5.0
B017LS2DUI,asin,5.0
B08MTNZ2SG,asin,5.0
B08NT58W8M,asin,5.0
B08CQWVVRJ,asin,5.0
B07PXH5CQJ,asin,5.0
B087P71GKG,asin,5.0
B07L8QWBX6,asin,5.0
B01M5BCNIG,asin,5.0
B08HLNNXQK,asin,5.0
B08KHYY1LM,asin,5.0
B08FQ4WXV2,asin,5.0
B081QPFJDJ,asin,5.0
B07GNCH78B,asin,5.0
B07WPT7KRP,asin,5.0
B07BW9D3XX,asin,5.0
B087HPYGSK,asin,5.0
B072Q476YK,asin,5.0
B01J6TCAJO,asin,5.0
B076FTWKCH,asin,5.0
B07MJKFJWF,asin,5.0
B08HHWNNYB,asin,5.0
B08D99PY6D,asin,5.0
B085NFPV5K,asin,5.0
B07PXHK6L2,asin,5.0
B07WD3X1WY,asin,5.0
B07QDWJ39P,asin,5.0
B08DKJQ3Q9,asin,5.0
B08MKNJ9WZ,asin,5.0
B071JNL2M5,asin,5.0
B079PS2DCX,asin,5.0
B00KM387EQ,asin,5.0
B085T9SMPG,asin,5.0
B0899S4NP1,asin,5.0
B086QSH2FK,asin,5.0
B01BVE241G,asin,5.0
B07P23DPZ3,asin,5.0
B079SMZXV3,asin,5.0
B07MK1PM3F,asin,5.0
B08DRQL7FN,asin,5.0
B075X4K6G2,asin,5.0
B01M6Z9463,asin,5.0
B085SWD66Q,asin,5.0
B08LYVS3XL,asin,5.0
B07GG215Z7,asin,5.0
B0883X9GNG,asin,5.0
B07HK4S5R7,asin,5.0
B073XL2M5M,asin,5.0
B076DSZMSH,asin,5.0
B07TJGTZ69,asin,5.0
B01BXBLXEG,asin,5.0
B08FDKPJ7H,asin,5.0
B07RB28K6X,asin,5.0
B08D3KPZNF,asin,5.0
B00VMSQYT0,asin,5.0
B08DP2RXCV,asin,5.0
B07Q2W1WSS,asin,5.0
B07Q49MT2K,asin,5.0
B07V337W5M,asin,5.0
B082R1GRWQ,asin,5.0
B07D9KX9JG,asin,5.0
B07CRX7SND,asin,5.0
B07Y2JNBJL,asin,5.0
B00XZF21TK,asin,5.0
B08J1LV7S9,asin,5.0
B07GCGW7Z5,asin,5.0
B08L7N6DCM,asin,5.0
B08B1XJCMM,asin,5.0
B08HJ4VGFY,asin,5.0
B07KTDPRZS,asin,5.0
B0783BL96N,asin,5.0
B072J41RQW,asin,5.0
B0884HB86J,asin,5.0
B01MU4W75N,asin,5.0
B07FSSDR2V,asin,5.0
B07D4JGWCP,asin,5.0
B08N4MRGRD,asin,5.0
B078HKNNKM,asin,5.0
B00W9OEGQO,asin,5.0
B0877Y7HDS,asin,5.0
B0811S97Y7,asin,5.0
B07ZPQBNQG,asin,5.0
B08BRGQQCM,asin,5.0
B075CFZC6B,asin,5.0
B01M71JIC9,asin,5.0
B087X914W9,asin,5.0
B085SYBJQ1,asin,5.0
B00JGI1ACO,asin,5.0
B0776QLPCZ,asin,5.0
B07T1T5XBP,asin,5.0
B08JNYWBMK,asin,5.0
B084X3XP95,asin,5.0
B07KYHYK3K,asin,5.0
B08LCMJ5J4,asin,5.0
B08HWMHNR2,asin,5.0
B074DWH542,asin,5.0
B08L62C6ZV,asin,5.0
B077NX2J88,asin,5.0
B07Z1GCJRX,asin,5.0
B07QB6N54C,asin,5.0
B07T83BQ71,asin,5.0
B0882WD98F,asin,5.0
B07QF467DJ,asin,5.0
B07VSFRRMB,asin,5.0
B08LP2XJYR,asin,5.0
B074DXP3ZY,asin,5.0
B07WSVMZVG,asin,5.0
B087NCGWV3,asin,5.0
B07145L7XS,asin,5.0
B07P676DXL,asin,5.0
B07RPQ4TYD,asin,5.0
B07HYFG13W,asin,5.0
B07Y479768,asin,5.0
B083MVB54J,asin,5.0
B075B1JLGD,asin,5.0
B087HMN7P6,asin,5.0
B0882LPZJS,asin,5.0
B08C2FHNDP,asin,5.0
B08KDYPKNY,asin,5.0
B07JWK65X7,asin,5.0
B0073PVT9Q,asin,5.0
B088RM4M6J,asin,5.0
B0771JVZHC,asin,5.0
B07WN7FYGQ,asin,5.0
B08DCT4LWP,asin,5.0
B08FR3GW9N,asin,5.0
B07X4XLQWV,asin,5.0
B08BY9PQ59,asin,5.0
B07ZKDRY7V,asin,5.0
B01LYBLU24,asin,5.0
B0859RTRJN,asin,5.0
B00IJFJEIW,asin,5.0
B088BG2G1L,asin,5.0
B08GB9Y31W,asin,5.0
B08CC3276T,asin,5.0
B07V49TR3Z,asin,5.0
B082VJQBDS,asin,5.0
B075SCVLCL,asin,5.0
B08HYDKCGS,asin,5.0
B07XLDRRLZ,asin,5.0
B07NNV4LW3,asin,5.0
B08F3FWTTF,asin,5.0
B08LKH7GHD,asin,5.0
B00T9T9LPI,asin,5.0
B08N47SDP1,asin,5.0
B07CTHBKC4,asin,5.0
B07SR6DB8F,asin,5.0
B07XTBSBQD,asin,5.0
B07741NR76,asin,5.0
B08HH9J9XL,asin,5.0
B07XRY1JY6,asin,5.0
B0863B268Y,asin,5.0
B07YZSSSH7,asin,5.0
B074Z17QH8,asin,5.0
B07F5MD31H,asin,5.0
B07GT1JW2Q,asin,5.0
B08K3GL3V4,asin,5.0
B08K8DXP3F,asin,5.0
B07VFXK294,asin,5.0
B085SYC5ZZ,asin,5.0
B07R4LCFTH,asin,5.0
B084BY9RJT,asin,5.0
B08HWKFR7J,asin,5.0
B08BG4MQQJ,asin,5.0
B07Y2JNFDH,asin,5.0
B08C2LHK7D,asin,5.0
B00S774V9O,asin,5.0
B076VJQQ1Q,asin,5.0
B0791W8S2W,asin,5.0
B07M7SXBKQ,asin,5.0
B0882N32B1,asin,5.0
B0794WCYSX,asin,5.0
B07KC8NY2G,asin,5.0
B07XRT4TGN,asin,5.0
B07BSJCCYC,asin,5.0
B08BP5H271,asin,5.0
B08JPSDSQW,asin,5.0
B078H98J6V,asin,5.0
B08DRCDDWY,asin,5.0
B08CXP4L8B,asin,5.0
B07PPBD8V4,asin,5.0
B082G5DVXN,asin,5.0
B08833F4LB,asin,5.0
B082B3TZ69,asin,5.0
B08KGBJ8TT,asin,5.0
B08BKS6C1J,asin,5.0
B08F9Y71V6,asin,5.0
B08DNJ1TYX,asin,5.0
B0824QWVZD,asin,5.0
B07WT1FML2,asin,5.0
B07Y46VGC6,asin,5.0
B086D26NZL,asin,5.0
B08D398RT4,asin,5.0
B07ZFTK1NV,asin,5.0
B08M3ZRRFY,asin,5.0
B07M71KB4H,asin,5.0
B07XRNXTPF,asin,5.0
B08GCB4N8Y,asin,5.0
B07PHQ9DSQ,asin,5.0
B08BX7843Q,asin,5.0
B07TTGVDYL,asin,5.0
B076C22HVH,asin,5.0
B088GS6JJD,asin,5.0
B07G765KF6,asin,5.0
B089XC2MD4,asin,5.0
B08C7Q1ZSQ,asin,5.0
B08LL85DR7,asin,5.0
B08K2M72ST,asin,5.0
B06VY8CN1Y,asin,5.0
B07WTXGG1C,asin,5.0
B07DBVYZWX,asin,5.0
B08M6GQWJQ,asin,5.0
B07Z3CBVCG,asin,5.0
B08HT3N7YW,asin,5.0
B085LS2G55,asin,5.0
B088KRNS2Q,asin,5.0
B07H3VD828,asin,5.0
B075FCS9X4,asin,5.0
B08CKBSPVJ,asin,5.0
B0894F1SDR,asin,5.0
B08D7RZH79,asin,5.0
B08FBWQDZM,asin,5.0
B081H17WPF,asin,5.0
B08KY4GJHP,asin,5.0
B07RN11WGF,asin,5.0
B0881RQM3V,asin,5.0
B08CK9MGZ3,asin,5.0
B07GZ56FPQ,asin,5.0
B08M9FJ1C3,asin,5.0
B07QJ2NHW4,asin,5.0
B01LZ4716U,asin,5.0
B08HMNKK1K,asin,5.0
B08HS348H3,asin,5.0
B08KHZQ4FC,asin,5.0
B019H14242,asin,5.0
B08GCTW4TX,asin,5.0
B00X245LPA,asin,5.0
B07PVWM4HH,asin,5.0
B00US2169E,asin,5.0
B07JHWJCZ9,asin,5.0
B08D3WCG15,asin,5.0
B08MQJC6JF,asin,5.0
B07M8K9DG3,asin,5.0
B08NT31667,asin,5.0
B07CWL5YJ5,asin,5.0
B08JVG92L6,asin,5.0
B07CKF3LVR,asin,5.0
B08DQ8PVDG,asin,5.0
B07KQQDVLX,asin,5.0
B07FQT4DZ4,asin,5.0
B08NDDPJ4H,asin,5.0
B07WQ1Y9FB,asin,5.0
B0761RP3V1,asin,5.0
B08KVYRKTS,asin,5.0
B083DK5QGP,asin,5.0
B07VKLH54B,asin,5.0
B01MQD61Q9,asin,5.0
B00X21PHGQ,asin,5.0
B07HKKRZ7C,asin,5.0
B08L663RKM,asin,5.0
B076KKL7GZ,asin,5.0
B07ZCMT2C6,asin,5.0
B079226K35,asin,5.0
B081TTG14N,asin,5.0
B0813PK8N4,asin,5.0
B087JQG294,asin,5.0
B07ZDD6PYS,asin,5.0
B0894Y8C88,asin,5.0
B08D3DDYJK,asin,5.0
B08L3NHLCP,asin,5.0
B087HSPYXK,asin,5.0
B07WX9P1MQ,asin,5.0
B07DVQT6Q5,asin,5.0
B08K365FKV,asin,5.0
B07PZ6S24T,asin,5.0
B084V9PD1C,asin,5.0
B07VHFF5P5,asin,5.0
B08KFZ8S8D,asin,5.0
B07Y1BYXQ4,asin,5.0
B07W986JWH,asin,5.0
B08H4V19TR,asin,5.0
B07ZS8LTPY,asin,5.0
B08L2WZCFZ,asin,5.0
B07VF4BG94,asin,5.0
B08CDGKVFC,asin,5.0
B0828RCSJC,asin,5.0
B01M73HQPE,asin,5.0
B08277DWG3,asin,5.0
B08FFYT92W,asin,5.0
B083J36P4H,asin,5.0
B07KH1MH26,asin,5.0
B07MGC8Z5Y,asin,5.0
B08N46DQYS,asin,5.0
B08L6QN5DN,asin,5.0
B089ZV45DP,asin,5.0
B07X8H5BG2,asin,5.0
B07Q432JM9,asin,5.0
B07ZM938ZW,asin,5.0
B08L3DZFMT,asin,5.0
B07RST6P9Z,asin,5.0
B08B63DT8D,asin,5.0
B08MDQZFVR,asin,5.0
B01M0F64RU,asin,5.0
B07YZRTKZJ,asin,5.0
B08H1W5CCV,asin,5.0
B07TYVVYVF,asin,5.0
B07JN71W84,asin,5.0
B07G4FYWZ8,asin,5.0
B07Z7PKX89,asin,5.0
B01BERYEAE,asin,5.0
B000HHUP38,asin,5.0
B08K19Q9QM,asin,5.0
B08MKDDQN7,asin,5.0
B08G4VQHQ3,asin,5.0
B08LQH7P78,asin,5.0
B08J7D7RVX,asin,5.0
B085SVCKC8,asin,5.0
B01M1GH7PO,asin,5.0
B0744PCHMC,asin,5.0
B07MH2LNDY,asin,5.0
B08DLCK49D,asin,5.0
B075X6J3D3,asin,5.0
B07RPYDDQG,asin,5.0
B0764LYZNC,asin,5.0
B0798PVZZN,asin,5.0
B07XYLK3HK,asin,5.0
B08L4K5CLQ,asin,5.0
B07ZKVW6XR,asin,5.0
B07Y63TYLS,asin,5.0
B07PLJNBDQ,asin,5.0
B088414GCG,asin,5.0
B08KZXYW74,asin,5.0
B00ZYSZOQ8,asin,5.0
B07BQV3WS8,asin,5.0
B087X1WBTV,asin,5.0
B07TD17ZBD,asin,5.0
B07RXV2RPT,asin,5.0
B08NSZ8QFP,asin,5.0
B07WVTXLW8,asin,5.0
B08GC2CHHL,asin,5.0
B08MDYM5P4,asin,5.0
B08147CLWB,asin,5.0
B0894B3156,asin,5.0
B0882JPTKD,asin,5.0
B081TQZN99,asin,5.0
B07QNW866Z,asin,5.0
B07CRPRQPQ,asin,5.0
B07CYJL1NK,asin,5.0
B07ZCSLTLK,asin,5.0
B071L5SNS2,asin,5.0
B07DQC2NWY,asin,5.0
B08LD6ZX6B,asin,5.0
B07J4DCHG1,asin,5.0
B07KQJ9VDS,asin,5.0
B08NCKXHYJ,asin,5.0
B06WW5YNLC,asin,5.0
B07T8614QB,asin,5.0
B08HQGRVK1,asin,5.0
B08G83C4CQ,asin,5.0
B08GH762X2,asin,5.0
B0812KYJBX,asin,5.0
B08M37ZTM7,asin,5.0
B08N475V18,asin,5.0
B07Z9XK5SD,asin,5.0
B07ZVN42RW,asin,5.0
B08LGFFMW4,asin,5.0
B07XXZ4MLK,asin,5.0
B08HCX6NRD,asin,5.0
B075MRXGD6,asin,5.0
B07DGLYC4S,asin,5.0
B07XHPK5KP,asin,5.0
B07XX4LXHM,asin,5.0
B07KF5KPD8,asin,5.0
B084ZWNQB3,asin,5.0
B08G4LBB2K,asin,5.0
B01J38QUNK,asin,5.0
B08362CQMR,asin,5.0
B08P2R62KD,asin,5.0
B075CPHTJ9,asin,5.0
B07W5T5M9H,asin,5.0
B07K3ZT4RS,asin,5.0
B07PHCL1P3,asin,5.0
B07SNCNW54,asin,5.0
B06XK6NGFV,asin,5.0
B07C8BBR4G,asin,5.0
B07VKJ3GXJ,asin,5.0
B07VQFZKTF,asin,5.0
B07CY4MLV1,asin,5.0
B07VCMGQ8R,asin,5.0
B08KGL8VNH,asin,5.0
B08LD83B3M,asin,5.0
B07PR3MPFR,asin,5.0
B0864LNQ3K,asin,5.0
B0813181JL,asin,5.0
B07Z3LZ1DH,asin,5.0
B07H91VH5T,asin,5.0
B07PGJJ5FH,asin,5.0
B07SN9SF54,asin,5.0
B08M9MM2XP,asin,5.0
B07JFXG7L7,asin,5.0
B08D6PS3GP,asin,5.0
B088TVSWB8,asin,5.0
B08CKRFQLT,asin,5.0
B07R4H3JKD,asin,5.0
B08K49JNQH,asin,5.0
B08HLZFT2R,asin,5.0
B07JVFP3N3,asin,5.0
B07WJKY7GL,asin,5.0
B07SS33TZF,asin,5.0
B08DQQBDDV,asin,5.0
B01F5L1F66,asin,5.0
B01AW2FNI4,asin,5.0
B08DSHX8WB,asin,5.0
B08LFW79LH,asin,5.0
B0882VVD6J,asin,5.0
B07K58X7SH,asin,5.0
B07RZCZBF5,asin,5.0
B07RBRRD89,asin,5.0
B0875LZT2F,asin,5.0
B07HMMP5RC,asin,5.0
B07J2M2GJ3,asin,5.0
B07Z8LZ66J,asin,5.0
B08151M9BY,asin,5.0
B07NCFSMWY,asin,5.0
B08NFSFNWX,asin,5.0
B07JPFBC2H,asin,5.0
B07961F3WV,asin,5.0
B07HNGYB94,asin,5.0
B089SBQM3X,asin,5.0
B08662ZM4J,asin,5.0
B07GQ7PPVH,asin,5.0
B0894MQ3Q1,asin,5.0
B076CLKKS1,asin,5.0
B086W6GTFX,asin,5.0
B07SM9GBHP,asin,5.0
B08HLLR7S5,asin,5.0
B08M65GC3Z,asin,5.0
B08JYDY75L,asin,5.0
B013X0MYN4,asin,5.0
B08L685CGK,asin,5.0
B08BZSGC77,asin,5.0
B08H2699VN,asin,5.0
B07HMV5D7P,asin,5.0
B075MQPRQL,asin,5.0
B08KGPSP22,asin,5.0
B0854Q749C,asin,5.0
B076C79RQ5,asin,5.0
B083WQG1VF,asin,5.0
B08D69HQVW,asin,5.0
B06Y3XWTFQ,asin,5.0
B08DR7P4W8,asin,5.0
B08FYCBDTC,asin,5.0
B07JGJS416,asin,5.0
B07STNSQ5T,asin,5.0
B07GZQZ9L5,asin,5.0
B075X6CQK8,asin,5.0
B07X575LWD,asin,5.0
B08F3FR44M,asin,5.0
B07FXDZFNC,asin,5.0
B089XHWCZK,asin,5.0
B01JCPWFJW,asin,5.0
B08G1HYPD6,asin,5.0
B08C54YSBW,asin,5.0
B08GHZV6X3,asin,5.0
B07TBRQF7V,asin,5.0
B08MKQ81XY,asin,5.0
B07PPB9TP1,asin,5.0
B07JKKB6DP,asin,5.0
B08L7XRKXN,asin,5.0
B07CL3DKRT,asin,5.0
B07Q7XSPTR,asin,5.0
B07W51GZNH,asin,5.0
B08JLSY29K,asin,5.0
B07BT3FHPW,asin,5.0
B07F12QMV9,asin,5.0
B07SJKY9VW,asin,5.0
B08HCVLP8R,asin,5.0
B08635THJC,asin,5.0
B08GHFYNKP,asin,5.0
B07W4689CF,asin,5.0
B07PWD1DHQ,asin,5.0
B07FN2M377,asin,5.0
B08HWS86WR,asin,5.0
B085Q4KS41,asin,5.0
B07VWLD7K4,asin,5.0
B07H5XCJQ7,asin,5.0
B01KC6YX86,asin,5.0
B084LN84XV,asin,5.0
B07PGJPP2S,asin,5.0
B08JC8KVJK,asin,5.0
B08CXGXHJW,asin,5.0
B07BKX7T6F,asin,5.0
B07NY77WK8,asin,5.0
B071LTK1JS,asin,5.0
B085T7MB26,asin,5.0
B074SP3RFY,asin,5.0
B08FBKGM8J,asin,5.0
B073WVHTXL,asin,5.0
B089X7CNNC,asin,5.0
B08KS3C978,asin,5.0
B07X2NSV5C,asin,5.0
B07DVKFX5H,asin,5.0
B085T8GSYB,asin,5.0
B07CS2ZCVH,asin,5.0
B076VC8CG5,asin,5.0
B07XQ8F8HS,asin,5.0
B08DTCLMWR,asin,5.0
B0787DH9VD,asin,5.0
B08LNW9RYN,asin,5.0
B07HHTK6WJ,asin,5.0
B07ZR2JZ5F,asin,5.0
B07L6L2PJ4,asin,5.0
B086TRDX65,asin,5.0
B00NNXX8SW,asin,5.0
B01MFFWA39,asin,5.0
B08GS4H96Z,asin,5.0
B07YGV1P91,asin,5.0
B08H52CZQ2,asin,5.0
B0894YG326,asin,5.0
B07T64VGQL,asin,5.0
B07L975MJJ,asin,5.0
B08H87CXL1,asin,5.0
B07ZP6CL26,asin,5.0
B08DTYDJ5L,asin,5.0
B01MZ4UZL0,asin,5.0
B07YBXPL35,asin,5.0
B07N319F4J,asin,5.0
B08J7NWSWC,asin,5.0
B08D91BXYB,asin,5.0
B07HFJN6JH,asin,5.0
B07K6LQK3W,asin,5.0
B088TWDR78,asin,5.0
B07MCDHPHY,asin,5.0
B07Y32BGZK,asin,5.0
B07WWKYFHQ,asin,5.0
B07YC91HMZ,asin,5.0
B08FJHXSX5,asin,5.0
B07PQCP96D,asin,5.0
B07Z9BGFZB,asin,5.0
B08JHZY3K8,asin,5.0
B07PGTNNMY,asin,5.0
B08KT4Y5ND,asin,5.0
B08GSQ86ZB,asin,5.0
B06Y1HWW99,asin,5.0
B015RTQ9WG,asin,5.0
B07PGPK4ZH,asin,5.0
B08863JWWS,asin,5.0
B089KCCD8K,asin,5.0
B088KRZY6B,asin,5.0
B07RT7VLPS,asin,5.0
B01MXTDP24,asin,5.0
B017LL8SMW,asin,5.0
B07ZPPY256,asin,5.0
B07WJZWLSW,asin,5.0
B07MYWMQPG,asin,5.0
B07WJZW9JG,asin,5.0
B08G4TSZT5,asin,5.0
B0795ZB3VT,asin,5.0
B004IPQPPM,asin,5.0
B07KPTTLL6,asin,5.0
B07SJ5X56V,asin,5.0
B07C633752,asin,5.0
B01M35CW10,asin,5.0
B08CK26W7W,asin,5.0
B07LBPK3HJ,asin,5.0
B0864KS955,asin,5.0
B08C2Q2V1M,asin,5.0
B07V84L7BB,asin,5.0
B08LVLX33K,asin,5.0
B08GC5ZKP9,asin,5.0
B08JK7443Y,asin,5.0
B07GX3ZFGQ,asin,5.0
B07CLMPFLD,asin,5.0
B07NCFM93V,asin,5.0
B07MZ15K8V,asin,5.0
B07D335XWJ,asin,5.0
B074DX4RYL,asin,5.0
B08GPVG853,asin,5.0
B088439CH4,asin,5.0
B012P10QVY,asin,5.0
B01N1VHFN6,asin,5.0
B089LT2VQ8,asin,5.0
B0788X1DT9,asin,5.0
B08GSDB2G6,asin,5.0
B077G9CKY3,asin,5.0
B07XYRCP5T,asin,5.0
B01BTGI4ZG,asin,5.0
B078HPLGXT,asin,5.0
B07FTKXNWH,asin,5.0
B00ZC305RI,asin,5.0
B073R927FP,asin,5.0
B07Y9X7P97,asin,5.0
B08BJN44WR,asin,5.0
B083BV4MN1,asin,5.0
B088QH9Z3V,asin,5.0
B085LCS16B,asin,5.0
B08BJZS7ZP,asin,5.0
B07T6XLFV7,asin,5.0
B08DCRZDYN,asin,5.0
B07HHSX6B7,asin,5.0
B085SW1D8J,asin,5.0
B083XDLXT6,asin,5.0
B08HHKPVCQ,asin,5.0
B07X2JDS8T,asin,5.0
B0817PK32V,asin,5.0
B07BNMWL3R,asin,5.0
B06Y5CSS3B,asin,5.0
B0881W82BD,asin,5.0
B08F549Y2Z,asin,5.0
B08LCVSXKS,asin,5.0
B07YYV5361,asin,5.0
B07ZK75TSV,asin,5.0
B08DFH9FB8,asin,5.0
B079617Z9Y,asin,5.0
B08CKM1YY2,asin,5.0
B078Q3LHWB,asin,5.0
B08J1QSBK4,asin,5.0
B077K6JRBR,asin,5.0
